MpCodigo;Divipola;Departamento;Municipio;Estimación Inseguridad Alimentaria Moderada-Grave;IRCA;Suficiencia de vías;Cantidad tipo de cultivos;temperature_2m_mean_c;NDVI;Pob rural;Cereales;Cultivos para condimentos, bebidas medicinales y aromáticas;Cultivos tropicales tradicionales;Frutales;Hortalizas;Leguminosas;Oleaginosas;Raíces y tubérculos;NDVI;EVI;NDMI;NDWI;MSI;BSI;NDBI;Zscore_NDVI;KPI;KPI_Quintile;Cluster
5093;05093;Antioquia;Betulia;0.310736558;5.5;13.33787852;5;19.41290323;0.615169284;0.699057715;27.5;0;16289.17;14415;0;6.3;0;6.13;0.50211577;0.22139538;-0.536735307;0.651785968;-0.180828079;-0.22139538;0.699057715;-0.981672069;0.899;Muy Alto;3
5101;05101;Antioquia;Ciudad Bolívar;0.173801412;2.6;13.57526546;3;21.68064516;0.786689303;0.382910819;0;0;11917.07;3833.4;0;0;0;300;0.587370353;0.29342079;-0.692791573;0.556983731;-0.260449783;-0.29342079;0.382910819;1.089284821;0.165;Muy Bajo;1
5107;05107;Antioquia;Briceño;0.270114261;1.1;16.3990154;5;18.7;0.703566587;0.64710318;89.9;0;5603.42;556.75;0;38.4;0;70;0.597513011;0.244533723;-0.61632227;0.616198501;-0.207910571;-0.244533723;0.64710318;-0.055787145;0.705;Alto;3
5113;05113;Antioquia;Buriticá;0.431117622;0.3;7.22332725;5;18.94516129;0.567477719;0.734180663;103;0;2987.79;191.5;44.52;284;0;0;0.474475526;0.182775695;-0.502364167;0.713016717;-0.136917434;-0.182775695;0.734180663;-0.618745168;0.903;Muy Alto;3
5120;05120;Antioquia;Cáceres;0.348261447;0;14.44302456;4;26.03548387;0.721481811;0.763615096;6469;0;140;3624;0;0;0;17250;0.585733234;0.248109411;-0.638278238;0.615420974;-0.206172554;-0.248109411;0.763615096;0.648024667;0.716;Alto;3
5125;05125;Antioquia;Caicedo;0.329769987;2.2;8.41055958;7;15.13870968;0.673410809;0.771274844;151.8;12;2424.84;2841.72;21.5;67.9;0;15.5;0.551805034;0.279762153;-0.585944737;0.576551099;-0.238332368;-0.279762153;0.771274844;0.059179865;0.916;Muy Alto;3
5129;05129;Antioquia;Caldas;0.284486797;3.7;12.0038115;5;17.52258065;0.612541458;0.210840668;3.92;0;175.41;259;63.5;7;0;0;0.511887561;0.248007493;-0.538748065;0.612739684;-0.202987096;-0.248007493;0.210840668;-0.476294199;0.312;Bajo;3
5134;05134;Antioquia;Campamento;0.296641175;1.8;12.67788063;4;18.62580645;0.73938803;0.697251374;4.56;0;149460.41;0;200;57;0;0;0.550871111;0.218408642;-0.663718199;0.654065893;-0.179187686;-0.218408642;0.697251374;1.001654724;0.557;Medio;3
5138;05138;Antioquia;Cañasgordas;0.324361965;2.9;12.07144774;5;17.24516129;0.774542686;0.648157725;217;0;7251.56;3889.95;0;77;4;0;0.573898214;0.299540877;-0.676125202;0.547607974;-0.262432312;-0.299540877;0.648157725;0.723571624;0.706;Alto;3
5142;05142;Antioquia;Caracolí;0.242298344;0.6;14.94116359;6;22.80645161;0.724330593;0.385809313;12.6;0;766.68;722.75;47.5;4.54;0;56.7;0.588495981;0.222866981;-0.644775564;0.650878361;-0.18887214;-0.222866981;0.385809313;0.370466578;0.438;Medio;2
5145;05145;Antioquia;Caramanta;0.277311655;8.3;17.96785379;7;16.66451613;0.725279122;0.521449211;35.92;247;21385.07;8791.5;172.5;33.08;0;60;0.581037103;0.243356372;-0.646306245;0.618789968;-0.202902063;-0.243356372;0.521449211;0.659765844;0.613;Alto;1
